ATP,Location,Tournament,Date,Series,Court,Surface,Round,RoundId,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,,,,,,
39,London,Wimbledon,27/6/22,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kwon S.W.,3,81,6770,698,6,3,3,6,6,3,6,4,,,3,1,Completed,1.005,34,1.01,31.88,1.01,34.22,1.01,22.46,,,,,,
39,London,Wimbledon,29/6/22,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Kokkinakis T.,3,79,6770,728,6,1,6,4,6,2,,,,,3,0,Completed,1.02,17,1.03,19.67,1.06,21,1.02,15.05,,,,,,
39,London,Wimbledon,1/7/22,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Kecmanovic M.,3,30,6770,1306,6,0,6,3,6,4,,,,,3,0,Completed,1.02,17,1.03,20.34,1.04,21,1.02,15.88,,,,,,
39,London,Wimbledon,3/7/22,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Van Rijthoven T.,3,104,6770,546,6,2,4,6,6,1,6,2,,,3,1,Completed,1.05,11,1.07,11.47,1.07,17,1.05,10.57,,,,,,
39,London,Wimbledon,5/7/22,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Sinner J.,3,13,6770,3185,5,7,2,6,6,3,6,2,6,2,3,2,Completed,1.11,6.5,1.11,7.94,1.13,7.94,1.11,6.82,,,,,,
39,London,Wimbledon,8/7/22,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Norrie C.,3,12,6770,3200,2,6,6,3,6,2,6,4,,,3,1,Completed,1.06,10,1.05,13.1,1.11,13.1,1.06,9.75,,,,,,
39,London,Wimbledon,10/7/22,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Kyrgios N.,3,40,6770,1070,4,6,6,3,6,4,7,6,,,3,1,Completed,1.28,3.75,1.28,4.11,1.33,4.25,1.28,3.81,,,,,,
36,London,Wimbledon,28/6/21,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Draper J.,1,253,12113,255,4,6,6,1,6,2,6,2,,,3,1,Completed,1.01,26,1.01,33.67,1.01,51,1.01,24.52,,,,,,
36,London,Wimbledon,30/6/21,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Anderson K.,1,102,12113,753,6,3,6,3,6,3,,,,,3,0,Completed,1.02,19,1.03,18.8,1.04,26,1.02,15.29,,,,,,
36,London,Wimbledon,2/7/21,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Kudla D.,1,114,12113,698,6,4,6,3,7,6,,,,,3,0,Completed,1.02,19,1.02,25.13,1.03,26,1.02,16.74,,,,,,
36,London,Wimbledon,5/7/21,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Garin C.,1,20,12113,2440,6,2,6,4,6,2,,,,,3,0,Completed,1.01,21,1.01,30.18,1.02,34,1.01,19.68,,,,,,
36,London,Wimbledon,7/7/21,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Fucsovics M.,1,48,12113,1344,6,3,6,4,6,4,,,,,3,0,Completed,1.03,15,1.04,16.96,1.05,17,1.03,13.22,,,,,,
36,London,Wimbledon,9/7/21,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Shapovalov D.,1,12,12113,2915,7,6,7,5,7,5,,,,,3,0,Completed,1.08,8,1.11,8.1,1.13,8.5,1.1,7.4,,,,,,
36,London,Wimbledon,11/7/21,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Berrettini M.,1,9,12113,4468,6,7,6,4,6,4,6,3,,,3,1,Completed,1.22,4.5,1.23,4.69,1.27,5.06,1.21,4.59,,,,,,
39,London,Wimbledon,1/7/19,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kohlschreiber P.,1,57,12415,885,6,3,7,5,6,3,,,,,3,0,Completed,1.03,15,1.02,22.7,1.04,22.7,1.02,14.68,,,,,,
39,London,Wimbledon,3/7/19,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Kudla D.,1,111,12415,520,6,3,6,2,6,2,,,,,3,0,Completed,1.01,26,1.005,37.46,1.02,39,1.01,22.28,,,,,,
39,London,Wimbledon,5/7/19,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Hurkacz H.,1,48,12415,959,7,5,6,7,6,1,6,4,,,3,1,Completed,1.01,23,1.02,24.64,1.03,39,1.01,20.14,,,,,,
39,London,Wimbledon,8/7/19,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Humbert U.,1,66,12415,822,6,3,6,2,6,3,,,,,3,0,Completed,1.02,17,1.02,24.73,1.04,26.5,1.02,17.58,,,,,,
39,London,Wimbledon,10/7/19,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Goffin D.,1,23,12415,1510,6,4,6,0,6,2,,,,,3,0,Completed,1.08,8,1.08,10.73,1.09,12,1.07,9.4,,,,,,
39,London,Wimbledon,12/7/19,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Bautista Agut R.,1,22,12415,1600,6,2,4,6,6,3,6,2,,,3,1,Completed,1.08,8,1.08,10.44,1.12,10.44,1.08,8.57,,,,,,
39,London,Wimbledon,14/07/19,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,1,3,12415,6620,7,6,1,6,7,6,4,6,13,12,3,2,Completed,1.55,2.6,1.55,2.66,1.6,2.66,1.54,2.56,,,,,,
40,London,Wimbledon,3/7/18,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Sandgren T.,21,57,1715,923,6,3,6,1,6,2,,,,,3,0,Completed,1.03,15,1.02,10,1.05,10,1.03,18.09,1.04,20,1.03,14.2,,
40,London,Wimbledon,5/7/18,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Zeballos H.,21,126,1715,438,6,1,6,2,6,3,,,,,3,0,Completed,1.01,23,1.01,11.5,1.01,21,1.02,24.52,1.03,29.75,1.01,18.53,,
40,London,Wimbledon,7/7/18,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Edmund K.,21,17,1715,1950,4,6,6,3,6,2,6,4,,,3,1,Completed,1.25,4,1.24,3.65,1.28,3.75,1.27,4.26,1.3,4.28,1.25,3.98,,
40,London,Wimbledon,9/7/18,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Khachanov K.,21,40,1715,1130,6,4,6,2,6,2,,,,,3,0,Completed,1.11,7,1.11,5.6,1.12,6,1.12,7.83,1.15,7.83,1.12,6.43,,
40,London,Wimbledon,11/7/18,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Nishikori K.,21,28,1715,1530,6,3,3,6,6,2,6,2,,,3,1,Completed,1.12,6,1.12,5.4,1.14,5.5,1.15,6.7,1.17,6.95,1.14,6.11,,
40,London,Wimbledon,14/07/18,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Nadal R.,21,1,1715,8770,6,4,3,6,7,6,3,6,10,8,3,2,Completed,1.9,1.9,1.95,1.75,2,1.8,2.05,1.9,2.05,1.95,1.97,1.87,,
40,London,Wimbledon,15/07/18,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Anderson K.,21,8,1715,3635,6,2,6,2,7,6,,,,,3,0,Completed,1.16,5,1.17,4.4,1.2,4.5,1.21,5.3,1.25,5.6,1.19,4.95,,
40,London,Wimbledon,4/7/17,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Dolgopolov O.,5,84,5265,631,6,3,3,0,,,,,,,1,0,Retired,1.02,19,1.01,11.5,1.02,15,1.01,25.99,1.03,32.75,1.01,18.65,,
40,London,Wimbledon,6/7/17,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Lajovic D.,5,79,5265,661,7,6,6,3,6,2,,,,,3,0,Completed,1.01,26,1.01,11.5,1.02,15,1.01,34.05,1.02,46.75,1.01,21.21,,
40,London,Wimbledon,8/7/17,Grand Slam,Outdoor,Grass,3rd Round,3,3,Federer R.,Zverev M.,5,30,5265,1396,7,6,6,4,6,4,,,,,3,0,Completed,1.03,15,1.02,10,1.04,11,1.04,17.22,1.05,20.5,1.04,13.05,,
40,London,Wimbledon,10/7/17,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Dimitrov G.,5,11,5265,3070,6,4,6,2,6,4,,,,,3,0,Completed,1.14,5.5,1.15,4.75,1.17,5,1.19,5.61,1.19,6.1,1.16,5.33,,
40,London,Wimbledon,12/7/17,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Raonic M.,5,7,5265,4150,6,4,6,2,7,6,,,,,3,0,Completed,1.2,4.5,1.18,4.3,1.22,4.33,1.21,5.14,1.23,5.45,1.2,4.7,,
40,London,Wimbledon,14/07/17,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Berdych T.,5,15,5265,2570,7,6,7,6,6,4,,,,,3,0,Completed,1.1,7,1.09,6.25,1.14,5.5,1.12,8.04,1.15,8.5,1.12,6.85,,
40,London,Wimbledon,16/07/17,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Cilic M.,5,6,5265,4235,6,3,6,1,6,4,,,,,3,0,Completed,1.22,4.5,1.2,4.1,,,1.25,4.6,1.26,4.75,1.23,4.33,,
39,London,Wimbledon,28/06/16,Grand Slam,Outdoor,Grass,1st Round,1,5,Murray A.,Broady L.,2,235,8915,224,6,2,6,3,6,4,,,,,3,0,Completed,1.005,34,1.01,12,1,34,1.01,51,1.02,51,1.01,26.09,,
39,London,Wimbledon,30/06/16,Grand Slam,Outdoor,Grass,2nd Round,2,5,Murray A.,Lu Y.H.,2,76,8915,710,6,3,6,2,6,1,,,,,3,0,Completed,1.01,21,1.01,10,1.02,17,1.02,24.52,1.02,29.75,1.01,17.73,,
39,London,Wimbledon,2/7/16,Grand Slam,Outdoor,Grass,3rd Round,3,5,Murray A.,Millman J.,2,67,8915,770,6,3,7,5,6,2,,,,,3,0,Completed,1.01,23,1.01,11,1.01,21,1.02,25.5,1.03,28.25,1.01,18.12,,
39,London,Wimbledon,4/7/16,Grand Slam,Outdoor,Grass,4th Round,4,5,Murray A.,Kyrgios N.,2,18,8915,1855,7,5,6,1,6,4,,,,,3,0,Completed,1.14,5.5,1.15,4.75,1.17,5,1.19,5.58,1.19,5.93,1.16,5.27,,
39,London,Wimbledon,6/7/16,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Murray A.,Tsonga J.W.,2,12,8915,2725,7,6,6,1,3,6,4,6,6,1,3,2,Completed,1.1,7,1.1,6,1.11,6.5,1.12,8.01,1.13,8.01,1.1,6.94,,
39,London,Wimbledon,8/7/16,Grand Slam,Outdoor,Grass,Semifinals,6,5,Murray A.,Berdych T.,2,9,8915,2950,6,3,6,3,6,3,,,,,3,0,Completed,1.1,7,1.12,5,1.12,6,1.15,6.75,1.17,7.5,1.12,6.55,,
39,London,Wimbledon,10/7/16,Grand Slam,Outdoor,Grass,The Final,7,5,Murray A.,Raonic M.,2,7,8915,3175,6,4,7,6,7,6,,,,,3,0,Completed,1.25,4.33,1.25,3.5,1.25,4,1.27,4.36,4.36,1.3,3.97,1.26,,
39,London,Wimbledon,29/06/15,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kohlschreiber P.,1,33,13845,1195,6,4,6,4,6,4,,,,,3,0,Completed,1.03,15,1.01,12,1.03,12,1.05,13,1.05,16.5,1.03,12.4,,
39,London,Wimbledon,1/7/15,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Nieminen J.,1,92,13845,564,6,4,6,2,6,3,,,,,3,0,Completed,1.005,34,1.01,13,1,34,1.01,41,1.01,61,1.01,25.87,,
39,London,Wimbledon,3/7/15,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Tomic B.,1,26,13845,1355,6,3,6,3,6,3,,,,,3,0,Completed,1.02,17,1.02,11.5,1.02,15,1.03,21,1.03,26.75,1.02,16.21,,
39,London,Wimbledon,7/7/15,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Anderson K.,1,14,13845,2090,6,7,6,7,6,1,6,4,7,5,3,2,Completed,1.03,15,1.03,11,1.03,12,1.04,17,1.05,17.5,1.03,13.45,,
39,London,Wimbledon,8/7/15,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Cilic M.,1,9,13845,3540,6,4,6,4,6,4,,,,,3,0,Completed,1.08,7.5,1.12,5.75,1.07,8.5,1.1,8.73,1.13,9,1.09,7.57,,
39,London,Wimbledon,10/7/15,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Gasquet R.,1,20,13845,1610,7,6,6,4,6,4,,,,,3,0,Completed,1.06,10,1.07,8,1.06,9,1.07,11.5,1.1,13,1.07,9.37,,
39,London,Wimbledon,12/7/15,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,1,2,13845,9665,7,6,6,7,6,4,6,3,,,3,1,Completed,1.83,2,1.82,1.9,1.83,2,1.91,2.04,2,2.1,1.91,1.96,,
37,London,Wimbledon,23/06/14,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Golubev A.,2,56,12330,852,6,0,6,1,6,4,,,,,3,0,Completed,1.01,26,1.01,13,1.01,26,1.01,27.22,1.02,15,1.02,35,,
37,London,Wimbledon,25/06/14,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Stepanek R.,2,38,12330,1085,6,4,6,3,6,7,7,6,,,3,1,Completed,1.03,15,1.03,11,1.02,15,1.03,17.5,1.03,12,1.04,19,,
37,London,Wimbledon,27/06/14,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Simon G.,2,44,12330,1005,6,4,6,2,6,4,,,,,3,0,Completed,1.01,21,1.03,11,1.03,12,1.03,21,1.03,12,1.05,21,,
37,London,Wimbledon,30/06/14,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Tsonga J.W.,2,17,12330,1775,6,3,6,4,7,6,,,,,3,0,Completed,1.08,8,1.1,6.5,1.11,6.5,1.14,6.92,1.13,6.5,1.14,8.5,,
37,London,Wimbledon,2/7/14,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Cilic M.,2,29,12330,1350,6,1,3,6,6,7,6,2,6,2,3,2,Completed,1.08,8,1.1,6.5,1.08,8,1.1,9.05,1.11,7,1.12,9.65,,
37,London,Wimbledon,4/7/14,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Dimitrov G.,2,13,12330,2595,6,4,3,6,7,6,7,6,,,3,1,Completed,1.25,4,1.22,4,1.25,4,1.29,4.22,1.25,4.33,1.32,4.45,,
37,London,Wimbledon,6/7/14,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,2,4,12330,4945,6,7,6,4,7,6,5,7,6,4,3,2,Completed,1.61,2.4,1.6,2.3,1.57,2.38,1.61,2.53,1.62,2.4,1.75,2.53,,
37,London,Wimbledon,24/06/13,Grand Slam,Outdoor,Grass,1st Round,1,5,Murray A.,Becker B.,2,92,8560,570,6,4,6,3,6,2,,,,,3,0,Completed,1.01,26,1.01,20,1.02,17,1.01,34,1.02,13,1.02,39,1.01,19.54
37,London,Wimbledon,26/06/13,Grand Slam,Outdoor,Grass,2nd Round,2,5,Murray A.,Lu Y.H.,2,75,8560,683,6,3,6,3,7,5,,,,,3,0,Completed,1.01,26,1.01,20,1.01,26,1.01,34,1.01,14,1.02,66,1.01,21.16
37,London,Wimbledon,28/06/13,Grand Slam,Outdoor,Grass,3rd Round,3,5,Murray A.,Robredo T.,2,29,8560,1355,6,2,6,4,7,5,,,,,3,0,Completed,1.03,15,1.04,10,1.03,12,1.05,15.5,1.03,13,1.05,17.5,1.03,12.61
37,London,Wimbledon,1/7/13,Grand Slam,Outdoor,Grass,4th Round,4,5,Murray A.,Youzhny M.,2,26,8560,1415,6,4,7,6,6,1,,,,,3,0,Completed,1.05,11,1.06,7.5,1.04,11,1.08,11,1.05,11,1.09,12.55,1.06,9.67
37,London,Wimbledon,3/7/13,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Murray A.,Verdasco F.,2,54,8560,825,4,6,3,6,6,1,6,4,7,5,3,2,Completed,1.07,9,1.08,7.5,1.08,8,1.09,9.6,1.08,8,1.1,10.5,1.08,8.39
37,London,Wimbledon,5/7/13,Grand Slam,Outdoor,Grass,Semifinals,6,5,Murray A.,Janowicz J.,2,22,8560,1549,6,7,6,4,6,4,6,3,,,3,1,Completed,1.16,5,1.18,4.75,1.25,4,1.22,5.21,1.22,4.5,1.26,5.7,1.2,4.67
37,London,Wimbledon,7/7/13,Grand Slam,Outdoor,Grass,The Final,7,5,Murray A.,Djokovic N.,2,1,8560,11830,6,4,7,5,6,4,,,,,3,0,Completed,2.5,1.57,2.3,1.6,2.38,1.57,2.49,1.63,2.38,1.62,2.64,1.67,2.4,1.58
37,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,1,5,Federer R.,Ramos A.,3,43,9435,935,6,1,6,1,6,1,,,,,3,0,Completed,1.002,29,1.01,20,1,21,1.01,51,1.01,21,1.01,59.87,1.01,25.27
37,London,Wimbledon,27/06/12,Grand Slam,Outdoor,Grass,2nd Round,2,5,Federer R.,Fognini F.,3,68,9435,695,6,1,6,3,6,2,,,,,3,0,Completed,1.01,26,1.01,20,1.01,21,1.01,71,1.01,15,1.03,71,1.01,26.65
37,London,Wimbledon,29/06/12,Grand Slam,Outdoor,Grass,3rd Round,3,5,Federer R.,Benneteau J.,3,32,9435,1210,4,6,6,7,6,2,7,6,6,1,3,2,Completed,1.01,26,1.01,20,1.02,13,1.02,25.5,1.02,15,1.03,29.98,1.01,18.56
37,London,Wimbledon,2/7/12,Grand Slam,Outdoor,Grass,4th Round,4,5,Federer R.,Malisse X.,3,75,9435,651,7,6,6,1,4,6,6,3,,,3,1,Completed,1.04,13,1.07,8,1.04,10,1.05,14.8,1.05,9,1.07,14.8,1.05,10.63
37,London,Wimbledon,4/7/12,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Federer R.,Youzhny M.,3,33,9435,1210,6,1,6,2,6,2,,,,,3,0,Completed,1.1,7,1.13,5.75,1.11,6.5,1.14,7.06,1.1,7,1.15,7.5,1.12,6.2
37,London,Wimbledon,6/7/12,Grand Slam,Outdoor,Grass,Semifinals,6,5,Federer R.,Djokovic N.,3,1,9435,12280,6,3,3,6,6,4,6,3,,,3,1,Completed,2.87,1.44,2.9,1.4,3,1.4,2.94,1.48,3,1.36,3.06,1.48,2.87,1.42
37,London,Wimbledon,8/7/12,Grand Slam,Outdoor,Grass,The Final,7,5,Federer R.,Murray A.,3,4,9435,6980,4,6,7,5,6,3,6,4,,,3,1,Completed,1.5,2.75,1.45,2.7,1.5,2.75,1.5,2.89,1.5,2.75,1.51,3.04,1.45,2.76