Year,Round,RoundId,Best of,Winner,Loser,WRank,LRank,TitleCount
2022,The Final,7,5,Djokovic N.,Kyrgios N.,3,40,7
2021,The Final,7,5,Djokovic N.,Berrettini M.,1,9,6
2019,The Final,7,5,Djokovic N.,Federer R.,1,3,5
2018,The Final,7,5,Djokovic N.,Anderson K.,21,8,4
2017,The Final,7,5,Federer R.,Cilic M.,5,6,8
2016,The Final,7,5,Murray A.,Raonic M.,2,7,2
2015,The Final,7,5,Djokovic N.,Federer R.,1,2,3
2014,The Final,7,5,Djokovic N.,Federer R.,2,4,2
2013,The Final,7,5,Murray A.,Djokovic N.,2,1,1
2012,The Final,7,5,Federer R.,Murray A.,3,4,7
2011,The Final,7,5,Djokovic N.,Nadal R.,2,1,1
2010,The Final,7,5,Nadal R.,Berdych T.,1,13,2
2009,The Final,7,5,Federer R.,Roddick A.,2,6,6
2008,The Final,7,5,Nadal R.,Federer R.,2,1,1
2007,The Final,7,5,Federer R.,Nadal R.,1,2,5
2006,The Final,7,5,Federer R.,Nadal R.,1,2,4
2005,The Final,7,5,Federer R.,Roddick A.,1,4,3
2004,The Final,7,5,Federer R.,Roddick A.,1,2,2
2003,The Final,7,5,Federer R.,Philippoussis M.,5,48,1
2002,The Final,7,5,Hewitt L.,Nalbandian D.,1,32,1
2001,The Final,7,5,Ivanisevic G.,Rafter P.,125,10,1